name,language,genre,release_date,runtime,cbfc_rating,budget,box_office_collection_worldwide,verdict,actors,music,director,writer,producer,subtitle_path,data_path
Dhoom 3,hi,"['Action', 'Crime', 'Thriller']",18-12-2013,172,UA,1750000000,5243760000,All Time Blockbuster,"['Aamir Khan', 'Katrina Kaif', 'Abhishek Bachchan', 'Uday Chopra', 'Riya Ray', 'Elizabeth Reiners', 'Tabrett Bethell', 'Andrew Bicknell', 'Jacqueline Scislowski', 'Jackie Shroff', 'Kim DeJesus', 'Parth Suri']","['Pritam Chakraborty', 'Shilpa Rao']","['Vijay Krishna Acharya', 'Sonal Joshi', 'Rohan Khambati', 'Abhishek Anil Tiwari', 'Pablo Gambetta', 'Shiv Rawail']","['Vijay Krishna Acharya', 'Dein Perry', 'Prakash Bharadwaj']","['Aditya Chopra', 'Sanjay Shivalkar', 'Aashish Singh', 'Ilana Rossein', 'Carrie Holt de Lama', 'Rukhshida David', 'Rengarajan Jaiprakash', 'Maria C. Roxas', 'Namrata Shah', 'Bobbi Taxali']",/Subtitle/Dhoom 3/Dhoom 3.srt,
Tiger Zinda Hai,hi,"['Action', 'Adventure', 'Thriller']",18-12-2017,161,UA,2100000000,5651020000,Blockbuster,"['Salman Khan', 'Katrina Kaif', 'Girish Karnad', 'Paresh Rawal', 'Sudeep', 'Angad Bedi', 'Kumud Mishra', 'Neha Hinge', 'Nawab Shah', 'Danish Bhatt', 'Sajjad Delafrooz', 'Anupriya Goenka', 'Gavie Chahal', 'Paresh Pahuja', 'Sharma Vibhoutee', 'Anant Vidhaat Sharma', 'Zachary Coffin', 'Kashmira Irani', 'Najmeddin AlHadad', 'Steve Lorrigan', 'Casey Shannon', 'Rohit KaduDeshmukh', 'Christian Mandel']","['Vishal Dadlani', 'Julius Packiam', 'Shekhar Ravjiani', 'Dileep Subramaniam', 'Ganesh Gangadharan', 'Raftaar', 'Jyoti Nooran']",['Ali Abbas Zafar'],['Neelesh Misra'],"['Aditya Chopra', 'Aashish Singh', 'Mukesh Chhabra', 'Hamid Araissi', 'Shanoo Sharma', 'Sudhanshu Kumar']",/Subtitle/Tiger Zinda Hai/Tiger Zinda Hai.srt,
Sultan,hi,"['Action', 'Drama', 'Sport']",06-07-2016,170,UA,1450000000,5772875000,Blockbuster,"['Salman Khan', 'Anushka Sharma', 'Randeep Hooda', 'Amit Sadh', 'Kumud Mishra', 'Parikshat Sahni', 'Tyron Woodley', 'Marko Zaror', 'Ron Smoorenburg', 'Marrese Crump', 'Shibani Dandekar', 'Meiyang Chang', 'Anant Vidhaat Sharma', 'Ivan Rodrigues', 'Karmveer Choudhary', 'Kubbra Sait']","['Vishal Dadlani', 'Julius Packiam', 'Shekhar Ravjiani', 'Sukhwinder Singh', 'Papon', 'Mohit Chauhan', 'Dileep Subramaniam', 'Rahat Fateh Ali Khan', 'Ganesh Gangadharan', 'Neha Bhasin', 'Mika Singh', 'Shalmali Kholgade', 'Neeti Mohan', 'Jyoti Nooran', 'Sultana Nooran', 'Badshah', 'Harshdeep Kaur', 'Shadab Faridi', 'Iulia Vantur']","['Ali Abbas Zafar', 'Ravi Chhabriya', 'Abhiraj Minawala', 'Archit Kumar', 'Aniruddh Rawal']",['Irshad Kamil'],"['Aditya Chopra', 'Aashish Singh', 'Navmeet Singh', 'Shanoo Sharma', 'Sudhanshu Kumar']",/Subtitle/Sultan/Sultan.srt,
Kabhi Khushi Kabhie Gham...,hi,"['Drama', 'Musical', 'Romance']",14-12-2001,210,U,400000000,1355300000,Blockbuster,"['Amitabh Bachchan', 'Jaya Bachchan', 'Shah Rukh Khan', 'Kajol', 'Hrithik Roshan', 'Kareena Kapoor Khan', 'Rani Mukerji', 'Farida Jalal', 'Alok Nath', 'Parzaan Dastur', 'Jugal Hansraj', 'Simone Singh', 'Aryan Khan', 'Johnny Lever', 'Jibraan Khan', 'Achala Sachdev', 'Himani Shivpuri', 'Sushma Seth', 'Shashikala', 'Tamzin Griffin', 'Ramona Sunavala', 'Jeroo Writer', 'Vikas Sethi', 'Malvika Raaj', 'Holly Holdsworth', 'Kavesh Majmudar', 'Jessey Lever', 'Amar Adatia', 'Amith Rahman', 'Ali Haji', 'Bharat Mistri']","['Babloo Chakravorty', 'Sandesh Shandilya', 'Ali Merchant', 'Baylon Fonseca', 'Vikram Biswas', 'Usha Uthup', 'Ajay Kumar P. B.', 'Anup Dev', 'Kunal Mehta', 'Anuj Mathur', 'Sajjan Choudhary', 'Karnail Singh', 'Sudesh Bhosle', 'Umar Khan', 'Rajendra Gupta', 'Ashok Shukla', 'Jayesh Kosambia', 'Rafiq Shaikh', 'Mohammed Ilyas', 'Richard Beetham']","['Nikkhil Advani', 'Karan Johar', 'Tarun Mansukhani', 'Kapil Chopra']","['Sheena Parikh', 'Soham Shah', 'Punit Malhotra']","['Karan Johar', 'Yash Johar', 'Hiroo Johar', 'Nandini Shrikent', 'Romany Helmy', 'Andy Pavord', 'Kali Sharma', 'Sharad Rane']",/Subtitle/Kabhi Khushi Kabhie Gham.../Kabhi Khushi Kabhie Gham....srt,
Kaho Naa... Pyaar Hai,hi,"['Action', 'Musical', 'Romance', 'Thriller']",14-01-2000,172,U,100000000,800155000,Blockbuster,"['Hrithik Roshan', 'Ameesha Patel', 'Anupam Kher', 'Dalip Tahil', 'Mohnish Behl', 'Ashish Vidhyarthi', 'Tanaaz Currim Irani', 'Johnny Lever', 'Satish Shah', 'Farida Jalal', 'Rajesh Tandon', 'Vrajesh Hirjee', 'Kamya Punjabi', 'Asha Patel', 'Ram Mohan', 'Jasveer Kaur']","['Rajesh Roshan', 'Asha Bhosle', 'Lucky Ali', 'Udit Narayan', 'Kumar Sanu', 'Alka Yagnik', 'Babul Supriyo']","['Rakesh Roshan', 'Saawan Kumar Tak']","['Honey Irani', 'Sagar Sarhadi', 'Ravi Kapoor', 'Ibrahim Ashq']",['Rakesh Roshan'],/Subtitle/Kaho Naa... Pyaar Hai/Kaho Naa... Pyaar Hai.srt,
Karan Arjun,hi,"['Action', 'Drama', 'Fantasy', 'Romance']",13-01-1995,175,UA,60000000,436350000,Blockbuster,"['Shah Rukh Khan', 'Salman Khan', 'Rakhee Gulzar', 'Kajol', 'Mamta Kulkarni', 'Amrish Puri', 'Ranjeet', 'Johnny Lever', 'Aashif Sheikh', 'Ashok Saraf', 'Jack Gaud', 'Arjun', 'Ila Arun', 'Kishore Anand Bhanushali', 'Suresh Chatwal', 'Salim Khan Ding-Dong', 'John Gabriel', 'Dinesh Hingoo', 'Raj Kishore', 'Anil Nagrath', 'Ghanshyam Rohera', 'Babbanlal Yadav', 'Gavin Packard']","['Rajesh Roshan', 'Prakash Gupta', 'Hitendra Ghosh', 'Sudesh Bhosle', 'Navin Zaveri']","['Anurag Singh', 'Rakesh Roshan', 'Baldev Walia']","['Anwar Khan', 'Sachin Bhowmick', 'Ravi Kapoor']","['Bharat Shah', 'Rakesh Roshan', 'Kailash Vohra', 'Pilly Singh']",/Subtitle/Karan Arjun/Karan Arjun.srt,
Dil To Pagal Hai,hi,"['Comedy', 'Drama', 'Musical', 'Romance']",30-10-1997,180,U,90000000,718650000,Blockbuster,"['Shah Rukh Khan', 'Madhuri Dixit', 'Karisma Kapoor', 'Akshay Kumar', 'Farida Jalal', 'Deven Verma', 'Aruna Irani', 'Ameesha Patel', 'Shahid Kapoor']","['Asha Bhosle', 'Uttam Singh', 'Prakash Gupta', 'Udit Narayan', 'Anup Dev', 'Lata Mangeshkar', 'Anuj Mathur', 'Sajjan Choudhary', 'Karnail Singh', 'Daman Sood', 'Rajendra Gupta', 'Ashok Shukla', 'Victor Dantes', 'Jitendra Solanki', 'Jayesh Kosambia', 'Satish Poojari']","['Yash Chopra', 'Manmohan Singh', 'Tanuja Chandra', 'Ahmed Siddiqui', 'Sikander Berry']","['Sameer Sharma', 'Pamela Chopra']","['Aditya Chopra', 'Karan Johar', 'Ratan Bhatia', 'Mahen Vakil']",/Subtitle/Dil To Pagal Hai/Dil To Pagal Hai.srt,
Hum Saath Saath Hain,hi,"['Drama', 'Musical']",05-11-1999,177,U,170000000,817120000,Blockbuster,"['Salman Khan', 'Sonali Bendre', 'Karisma Kapoor', 'Saif Ali Khan', 'Mohnish Behl', 'Tabu', 'Alok Nath', 'Reema Lagoo', 'Neelam Kothari', 'Mahesh Thakur', 'Ajit Vachhani', 'Himani Shivpuri', 'Satish Shah', 'Sadashiv Amrapurkar', 'Shammi', 'Rajeev Verma', 'Shakti Kapoor', 'Dinesh Hingoo', 'Dilip Dhawan', 'Sheela Sharma', 'Kunickaa Sadanand', 'Jayshree T.', 'Kalpana Iyer', 'Huma Khan', 'Achyut Potdar', 'Jatin Kanakia', 'Zoya Afroz']","['Shankar Mahadevan', 'Roop Kumar Rathod\t \t   ', 'Raam Laxman', 'Sonu Nigam', 'Udit Narayan', 'Kumar Sanu', 'Kavita Krishnamurthy', 'Alka Yagnik', 'Hariharan', 'Anuradha Paudwal', 'Hema Sardesai']",['Sooraj Barjatya'],['Sooraj Barjatya'],"['Kamal Kumar Barjatya', 'Rajkumar Barjatya', 'Ajit Kumar Barjatya', 'Rajat A. Barjatya']",/Subtitle/Hum Saath Saath Hain/Hum Saath Saath Hain.srt,
Padmaavat,hi,"['Drama', 'History', 'Romance', 'War']",25-01-2018,164,UA,2150000000,5459290000,Blockbuster,"['Ranveer Singh', 'Deepika Padukone', 'Shahid Kapoor', 'Jim Sarbh', 'Aayam Mehta', 'Ujjwal Chopra', 'Raza Murad', 'Aditi Rao Hydari', 'Anupriya Goenka', 'Padmavati Rao', 'Ashwin Dhar', 'Veena Mehta', 'Vibhav Roy', 'Muzzamil Bhavani', 'Deepak Shreemali', 'Manish Wadhwa', 'Hriiday Malhotra', 'Sharhaan Singh', 'Lankesh Bhardwaj', 'Komal Chhabria', 'Qutee Negpal', 'Ali Quli Mirza', 'Chintoo Singh Vasir', 'Mayank Kathak', 'Gulshan Walia', 'Saar Kashyap', 'Daljeet Sean Singh', 'Nazir Hussian', 'Swaroop Khan', 'Meena Mehta', 'Priyanka Pawar', 'Rohit Choudhary', 'Aslam Anwar', 'Akshay Sharma', 'Anuj Sharma', 'Mohammad Sakir', 'Mursaleem Qureshi', 'Deepak Sharma', 'Gopal Thakur', 'Aneesha Joshi', 'Farhan Siddique', 'Ayaz Khan', 'Anuj Khurana', 'Sanjeev Sharma', 'Alisha Soni', 'Arvinder Shagmer Gill', 'Mona Shetty']","['Richa Sharma', 'Sanchit Balhara', 'Bishwadeep Dipak Chatterjee', 'Justin Jose', 'Arijit Singh', 'Shreya Ghoshal', 'Mika Singh', 'Neha Kakkar', 'Ankit Balhara', 'Amarjit Barman', 'Neeti Mohan', 'Shail Hada', 'Rakesh Patra', 'Shijil P. Nair', 'Shivam Pathak', 'Sarath Mohan']","['Sanjay Leela Bhansali', 'Amber Lall']","['Sanjay Leela Bhansali', 'Prakash R. Kapadia', 'A. M. Turaz']","['Shruti Mahajan', 'Arvinder Gill', 'Ajit Andhare', 'Chetan Bhalchandra Deolekar', 'Shobha Sant', 'Mohan Bangera', 'Pratik Rawal', 'Sudhanshu Vats']",/Subtitle/Padmaavat/Padmaavat.srt,
Mohabbatein,hi,"['Musical', 'Drama', 'Romance']",27-10-2000,216,U,190000000,900105000,Blockbuster,"['Amitabh Bachchan', 'Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Jimmy Shergill', 'Preeti Jhangiani', 'Jugal Hansraj', 'Anupam Kher', 'Kim Sharma', 'Uday Chopra', 'Shamita Shetty', 'Archana Puran Singh', 'Amrish Puri', 'Shefali Shah', 'Saurabh Shukla', 'Parzaan Dastur', 'Helen', 'Hiten Patel', 'Raman Lamba', 'Ram Mohan', 'Geri Andrade', 'Rushad Rana', 'Mehul Nisar', 'Palash Dutta', 'Pearl Sukhadia', 'Meghna Patel', 'Sitaram', 'Gurdial Sira', 'Harpal Singh']","['Jatin Pandit', 'Lalit Pandit', 'Baylon Fonseca', 'Vikram Biswas', 'Ajay Kumar P. B.', 'Anup Dev', 'Kunal Mehta', 'Rishi Oberoi', 'Anuj Mathur', 'Jayant Vajpayee', 'Sajjan Choudhary', 'Karnail Singh', 'Daman Sood', 'Ashok Shukla', 'Jayesh Kosambia', 'Avinash Oak', 'Rajinder Gupta']","['Yash Chopra', 'Aditya Chopra', 'Nikkhil Advani', 'Manmohan Singh', 'Tarun Mansukhani', 'Taranjeet Singh']",['Pamela Chopra'],"['Aditya Chopra', 'Karan Johar', 'Mahen Vakil']",/Subtitle/Mohabbatein/Mohabbatein.srt,
War,hi,"['Action', 'Thriller']",02-10-2019,154,UA,2050000000,4424180000,Blockbuster,"['Hrithik Roshan', 'Tiger Shroff', 'Vaani Kapoor', 'Ashutosh Rana', 'Dipannita Sharma', 'Anupriya Goenka', 'R. Bhakti Klein', 'Soni Razdan', 'Arif Zakaria']","['Vishal Dadlani', 'Shekhar Ravjiani', 'Sanchit Balhara', 'Daniel B George', 'Arijit Singh', 'Shilpa Rao', 'Ganesh Gangadharan', 'Shashwath Jagadeesh', 'E.J. Thomas', 'Benny Dayal', 'Ritaban Basu']","['Siddharth Anand', 'Abhishek Anil Tiwari', 'Pushkar Ojha', 'Nishit Bhatia', 'Sanju Soman', 'Akshay Rane', 'Rahul Pawar', 'Rajvir Ashar']","['Abbas Tyrewala', 'Shridhar Raghavan', 'Kumaar']","['Simone Bär', 'Aditya Chopra', 'Shanoo Sharma', 'Bharat Rawail', 'Rengarajan Jaiprakash', 'Gurpreet Singh', 'Padam Bhushan', 'Andrea Massimi', 'Madhu Raju']",/Subtitle/War/War.srt,
Chennai Express,hi,"['Action', 'Adventure', 'Comedy', 'Romance']",08-08-2013,141,UA,1150000000,3959242500,Blockbuster,"['Shah Rukh Khan', 'Deepika Padukone', 'Nikitin Dheer', 'Manorama', 'Sathyaraj', 'Mukesh Tiwari', 'Kamini Kaushal', 'Rakesh Kukreti', 'Priyamani', 'Delhi Ganesh', 'Mohan Raman', 'Yogi Babu']","['Vishal Dadlani', 'Shekhar Ravjiani', 'S. P. Balasubramaniam', 'Yo Yo Honey Singh', 'Gopi Sundar', 'Sunidhi Chauhan', 'Anup Dev', 'Arijit Singh', 'Jonita Gandhi', 'Rakesh Ranjan', 'Chinmayi Sripaada', 'Brodha', 'Srimathumitha', 'Neeti Mohan']","['Rohit Shetty', 'K. Subash', 'Shetty Riyan', 'Megha Namdev']","['Robin Bhatt', 'Yunus Sajawal', 'Farhad Samji', 'Sajid Samji']","['Ronnie Screwvala', 'Gauri Khan', 'Manish Hariprasad', 'Siddharth Roy Kapur', 'Rohit Chaudhury', 'Anil Sable', 'Mukesh Chhabra', 'Karim Morani']",/Subtitle/Chennai Express/Chennai Express.srt,
