name,language,genre,release_date,runtime,cbfc_rating,budget,box_office_collection_worldwide,verdict,actors,music,director,writer,producer,subtitle_path,data_path
Airaa,ta,"['Drama','Horror']",28-03-2019,142,UA,100000000,52100000,Flop,"['Nayanthara', 'Kalaiyarasan', 'Yogi Babu', 'Jayaprakash', 'Baby Saanvitha', 'Kulappulli Leela', 'Meera Krishnan', 'Senthikumari', 'Gabrella Sellus', 'Maathevan', 'Ashwanth Ashokkumar', 'Nishaanth Ramakrishnan', 'Krishna Abhishek', 'Nithish Veera', 'Mona Kakade']","['Anand Krishnamoorthi', 'Sundaramurthy K. S.', 'Varun Venkataraman']","['K. M. Sarjun', 'A. R. Devranjith', 'Antony Vikram', 'Deevika Kumar', 'Sabarish Nanda', 'Sandeep .S', 'Ayub Hameed R. S.', 'P. Virumandi']","['Madhan Karky', 'K. M. Sarjun', 'Thamarai', 'KU. Karthik', 'Priyanka Ravindran']","['R. Ravindran', 'Kotapadi J Rajesh', 'P. T. Chandrakanth', 'T. Elumalai']",new_subtitles/Airaa/Airaa.srt,
Thadam,ta,"['Action','Crime','Drama']",01-03-2019,138,UA,140000000,260000000,Blockbuster,"['Arun Vijay', 'Tanya Hope', 'Smruthi Venkat', 'Vidhya Pradeep', 'Fefsi Vijayan', 'Yogi Babu', 'Sonia Agarwal', 'Meera Krishnan', 'George Mariyan', 'Pallavaraja', 'Mugambikai Ravi', 'VJ Thanigai']","['Udhaya Kumar', 'S. Alagiakoothan', 'Karun Prasad', 'Renjith Venugopal', 'Arun Raj']",['Magizh Thirumeni'],['Magizh Thirumeni'],"['Inder Kumar', 'R P Balagopi']",new_subtitles/Thadam/Thadam.srt,
Dev,ta,"['Romance','Action','Adventure']",14-02-2019,159,U,550000000,125000000,Disaster,"['Karthi', 'Rakul Preet Singh', 'Prakash Raj', 'Ramya Krishnan', 'Nikki Galrani', 'Vignesh', 'Amrutha Srinivasan', 'Santhosh Prathap', 'Renuka', 'Mahanadhi Sankar', 'Dhaksha H. Arun', 'Rethika Srinivas', 'T. M. Karthik', 'Karthik Muthuraman']","['Harris Jayaraj', 'G. Suren', 'S Azhagiya Koothan']",['Rajath Ravishankar'],"['Thamarai', 'Vivek', 'Kabilan']","['S. Lakshman Kumar', 'K V Durai']",new_subtitles/Dev/Dev.srt,
Petta,ta,"['Action','Drama']",10-01-2019,172,UA,1600000000,2310000000,Hit,"['Rajinikanth', 'Nawazuddin Siddiqui', 'Vijay Sethupathi', 'M. Sasikumar', 'Bobby Simha', 'Simran', 'Trisha Krishnan', 'Sananth Reddy', 'Megha Akash', 'Malavika Mohanan', 'Muthukumar', 'Guru Somasundaram', 'Adukalam Naren', 'Y. G. Mahendran', 'Munishkanth', 'Chinni Jayanth', 'Vivek Prasanna', 'Ramachandran Durairaj', 'Manikanda Rajan', 'Deepak Paramesh', 'Adhithya Shivpink', 'Thennavan', 'Shabeer Kallarakkal', 'Gajaraj', 'Rajkumar', 'Vaibhav Reddy', 'Rohit Nandakumar']","['Anirudh Ravichander', 'Kunal Rajan', 'Anthony Daasan', 'Nakul Abhyankar']","['Karthik Subbaraj', 'Srinivasan Elangovan']","['Charukesh Sekar', 'Vivek']","['Kalanithi Maran', 'Kaarthekeyen Santhanam', 'R S Suresh Maniyan', 'D Ramesh Kuchirayar']",new_subtitles/Petta/Petta.srt,
Viswasam,ta,"['Action','Drama']",10-01-2019,156,U,900000000,1890000000,Blockbuster,"['Ajith Kumar', 'Nayanthara', 'Thambi Ramaiah', 'Robo Shankar', 'Jagapati Babu', 'Yogi Babu', 'Vivek', 'Kalairani', 'Sujatha Sivakumar', 'Jangiri Madhumitha', 'Namo Narayanan', 'Sakshi Agarwal', 'Papri Ghosh', 'Anikha Surendran', 'Kovai Sarala', 'Bharath Reddy', 'Ramesh Thilak', 'Surekha Vani', 'Mime Gopi', 'R. N. R. Manohar', 'Ramachandran Durairaj', 'Ravi Prakash', 'George Mariyan', 'T.M. Karthik', 'Narayan Lucky', 'Sharmila Thapa', 'Mukhtar Khan', 'Gayatri Bhargavi', 'Temper Vamsi']","['D. Imman', 'T. Udayakumar']","['Siva', 'G. Boobalan']","['K. Manikandan', 'Adhi Narayana']","['T. G. Thyagarajan', 'Arjun Thiyagarajan', 'Sendhil Thiyagarajan']",new_subtitles/Viswasam/Viswasam.srt,
Dasavatharam,ta,"['Action','Thriller','Adventure']",13-06-2008,185,U,600000000,2000000000,Blockbuster,"['Kamal Haasan', 'Asin Thottumkal', 'Mallika Sherawat', 'Jaya Prada', 'Napoleon', 'Raghuram', 'Shammu', 'M. S. Bhaskar', 'Vaiyapuri', 'Chitti Babu', 'Santhana Bharathi', 'Rekha', 'R. Sundarrajan', 'Nagesh', 'K R Vijaya', 'Ramesh Khanna', 'David W. Scott']","['Himesh Reshammiya', 'Devi Sri Prasad', 'Sadhana Sargam', 'Mahalakshmi Iyer', 'Hariharan', 'Pop Shalini']",['K. S. Ravikumar'],"['Vaali', 'Atul Tiwari', 'Vairamuthu']",['V. Ravichandran'],new_subtitles/Dasavathaaram/Dasavathaaram.srt,
2,ta,"['Action','Sci-Fi']",29-11-2018,147,UA,5700000000,6304700000,Average,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T. J. Miller', 'Leslie Uggams', 'Karan Soni', 'Brianna Hildebrand', 'Jack Kesy', 'Eddie Marsan', 'Shiori Kutsuna', 'Stefan Kapičić', 'Randal Reeder', 'Nikolai Witschl', 'Thayr Harris', 'Rob Delaney', 'Lewis Tan', 'Bill Skarsgård', 'Terry Crews', 'Brad Pitt', 'Paul Wu', 'Robert Maillet', 'Alan Tudyk', 'Matt Damon', 'Michasha Armstrong', 'Joe Doserro', 'Hayley Sales', 'Islie Hirvonen', 'Jagua Arneja', 'Gerry South', 'Mike Dopud', 'Luke Roessler', 'Andy Canete', 'Tanis Dolman', 'Eleanor Walker', 'Hunter Dillon', 'Sala Baker', 'Sonia Sunger', 'Abiola Uthman', 'Tony Bailey', 'David Cook', 'Alex Kliner', 'Elaine Kliner', 'Alicia Morton', 'Fred Savage', 'Valencia Budijanto', 'Lisa Bunting', 'Miles Ellis', 'Sean Gislingham', 'Lars Grant', 'Sam Hargrave', 'Nicholas Hoult', 'Simon MacIntyre', 'James McAvoy', 'Evan Peters', 'Tye Sheridan', 'Alexandra Shipp', 'Kodi Smit-McPhee', 'Andréa Vawda', 'Scott Vickaryous', 'Dan Zachary', 'Hugh Jackman']","['Tyler Bates', 'Mark P. Stoeckinger', 'Tim Gomillion', 'David Grimaldi', 'Paul Massey', 'Chuck Michael', 'Mark Noda', 'Sean Massey', 'Ted Caplan', 'Ronald Eng', 'Martyn Zub', 'John Houlihan', 'John Morris', 'Donald D. Brown', 'Allen Yang', 'Allister Mann', 'Drew Krassowski']","['David Leitch', 'Paul Barry', 'Ana Oparnica Sebal', 'Daniel Columbie']","['Stan Lee', 'Rhett Reese', 'Lee Gren', 'Paul Wernick', 'Rob Liefeld', 'Fabian Nicieza']","['Mary Vernieu', 'Lauren Shuler Donner', 'Simon Kinberg', 'Jonathon Komack Martin', 'Corinne Clark', 'Ethan Smith', 'Kelly McCormick', 'Jennifer Page', 'Aditya Sood', 'Ko Iwagami', 'Marisol Roncali', 'Riva Cahn Thompson', 'Johnny Gidcomb', 'Yumi Takada', 'Raylin Sabo']",new_subtitles/2.0/2.0.srt,
Sandakozhi 2,ta,"['Action','Drama']",18-10-2018,160,UA,300000000,515000000,Average,"['Vishal Krishna', 'Keerthi Suresh', 'Rajkiran', 'Varalaxmi Sarathkumar', 'Kanja Karuppu', 'Munishkanth', 'Hareesh Peradi', 'Sarath Kumar', 'Kabali Vishwanth', 'Arjai', 'Shanmugarajan', 'Thennavan', 'G. Gnanasambandam', 'Lal', 'Hari Krishnan', 'Piraisoodan', 'K. S. G. Venkatesh', 'G. Marimuthu', 'Joe Malloori', 'Mayilsamy', 'Kayal Devaraj']","['Kailash Kher', 'Yuvan Shankar Raja', 'V. M. Mahalingam']",['N. Linguswamy'],"['N. Linguswamy', 'S. Ramakrishnan', 'Brinda Sarathy']","['Jayantilal Gada', 'Akshay Jayantilal Gada', 'Dhaval Jayantilal Gada', 'Praveen Daniel']",new_subtitles/Sandakozhi 2/Sandakozhi 2.srt,
Sarkar,ta,"['Drama','Action']",06-11-2018,164,UA,1100000000,2570000000,Hit,"['Vijay', 'Keerthi Suresh', 'Varalaxmi Sarathkumar', 'Prem', 'Yogi Babu', 'Radha Ravi', 'Tulasi', 'Rajesh', 'Livingston', 'Yuvina Parthavi', 'Papri Ghosh', 'Sivashankar Master', 'Ashwanth Thilak', 'Jayaditya Kang', 'Elyssa Erhardt']","['A. R. Rahman', 'AS Laxmi Narayanan', 'Nakul Abhyankar']",['A.R. Murugadoss'],['Jeyamohan'],"['Ilana Rossein', 'Kalanithi Maran', 'Rukhshida David']",new_subtitles/Sarkar/Sarkar.srt,
Vada Chennai,ta,"['Action','Crime','Drama']",17-10-2018,156,A,600000000,625000000,Above Average,"['Dhanush', 'Andrea Jeremiah', 'Samuthirakani', 'Daniel Balaji', 'Kishore', 'Pawan', 'Aishwarya Rajesh', 'Pavel Navageethan', 'Boxer Dheena', 'Joy Badlani', 'Vincent Asokan', 'Radha Ravi', 'Hari Krishnan', 'Cheenu Mohan', 'Sentrayan', 'Rajesh Sharma', 'Munnar Ramesh', 'Ragavendar']","['Santhosh Narayanan', 'Dhee']",['Vetrimaaran'],[],"['S Vinodkumar', 'S P Chokkalingam']",new_subtitles/Vada Chennai/Vada Chennai.srt,
96,ta,"['Romance','Drama']",04-10-2018,158,U,180000000,555000000,Blockbuster,"['Vijay Sethupathi', 'Trisha Krishnan', 'Janagaraj', 'Aadukalam Murugadoss', 'Bagavathi Perumal', 'Devadarshini', 'Varsha Bollamma', 'Adithya Bhaskar', 'Gouri G Kishan', 'Niyathi Kadambi', 'Kavithalaya Krishnan']","['G. Suren', 'Govindh Vasantha', 'Chinmayi Sripaada', 'Pradeep Kumar', 'S. Alagiakoothan', 'Kalyani Menon']",['C. Prem Kumar'],"['Uma Devi', 'Karthik Netha']","['S. Nandagopal', 'Kovai Vijaya Kumar']",new_subtitles/96/96.srt,
Chekka Chivantha Vaanam,ta,"['Action','Crime','Drama']",27-09-2018,143,UA,80000000,925000000,Super Hit,"['Arvind Swamy', 'Vijay Sethupathi', 'Arun Vijay', 'Silambarasan', 'Jyothika', 'Aishwarya Rajesh', 'Aditi Rao Hydari', 'Dayana Erappa', 'Prakash Raj', 'Thiagarajan', 'Jayasudha', 'Mansoor Ali Khan', 'Sarath Kumar', 'Gowtham Sundararajan', 'T.M. Karthik', 'Sugunthan']","['A. R. Rahman', 'Anand Krishnamoorthi', 'S. Sivakumar', 'Nakul Abhyankar']","['Mani Ratnam', 'Bejoy Nambiar']","['Vairamuthu', 'Sivakumar Ananth']","['Subaskaran Allirajah', 'K Chinnadurai']",new_subtitles/Chekka Chivantha Vaanam/Chekka Chivantha Vaanam.srt,
Seemaraja,ta,"['Action','Drama']",13-09-2018,158,U,400000000,570000000,Hit,"['Sivakarthikeyan', 'Samantha Akkineni', 'Simran', 'Napoleon', 'Soori', 'Sriranjini', 'Lal', 'Manobala', 'Rajendran', 'Charandeep', 'Keerthi Suresh', 'Swaminathan', 'Nadodigal Gopal']","['D. Imman', 'Kavitha Gopi']",['Ponram'],['Yugabharathi'],"['R. D. Raja', 'Mala Manyan', 'T Muthuraj', 'V Muthukumar']",new_subtitles/Seemaraja/Seemaraja.srt,
Kolamavu Kokila,ta,"['Comedy','Crime','Drama']",17-08-2018,140,UA,80000000,471000000,Double Blockbuster,"['Nayanthara', 'Yogi Babu', 'Saranya Ponvannan', 'Aranthangi Nisha', 'Jacqueline', 'Naveenkumar M.', 'Rajasthan', 'Kalanithimaran P.', 'Saravanan', 'Cheenu Mohan', 'Bijili Ramesh', 'R.S. Shivaji', 'Hareesh Peradi', 'Rajendran', 'Anbudhaasan', 'Arun Alexander']","['Sean Roldan', 'Anirudh Ravichander', 'Vijay Yesudas', 'Jonita Gandhi']","['Gautham Vasudev Menon', 'Nelson Dilipkumar']",[],"['Subaskaran Allirajah', 'Raja Sridhar', 'Kadhirai Ravi', 'Amudhan Priyan']",new_subtitles/Kolamaavu Kokila/Kolamaavu Kokila.srt,
Kadaikutty Singam,ta,"['Action','Drama']",13-07-2018,149,U,150000000,501400000,Super Hit,"['Karthi', 'Sayesha Saigal', 'Priya Bhavani Shankar', 'Sathyaraj', 'Soori', 'Arthana Binu', 'Mounica', 'Yuvarani', 'Bhanupriya', 'Viji Chandrasekhar', 'Ponvannan', 'Soundara Raja', 'Ilavarasu', 'John Vijay', 'Saravanan', 'G. Marimuthu', 'Krishnamoorthy', 'Veera Samar', 'Sriman', 'Suriya', 'Senthikumari', 'Shatru', 'Deepa Shankar', 'Indumathi Manigandan']","['D. Imman', 'Anthony Daasan', 'Hari Haran', 'Sachin Sudhakaran', 'Balakesavan Shanmugam', 'K C Sidharthan', 'Pradeep Kumar']",['Pandiraj'],['Pandiraj'],['Rajsekar Pandian'],new_subtitles/Kadaikutty Singam/Kadaikutty Singam.srt,
Bhaagamathie,ta,"['Action','Thriller','Horror']",26-01-2018,135,UA,300000000,120000000,Average,"['Anushka Shetty', 'Jayaram', 'Asha Sarath', 'Unni Mukundan', 'Murali Sharma', 'Thalaivasal Vijay', 'Nagineedu Vellanki', 'Vidyullekha Raman', 'Dhanraj', 'Prabhas Sreenu', 'Pithamagan Mahadevan', 'Shivaji Raja', 'Ajay Ghosh']",['S. Thaman'],['Ashok G.'],['Ashok G.'],"['K. E. Gnanavelraja', 'Vamsi Krishna Reddy']",new_subtitles/Bhaagamathie/Bhaagamathie.srt,
Mersal,ta,"['Action','Thriller']",18-10-2017,163,UA,1200000000,2600000000,Super Hit,"['Vijay', 'Kajal Agarwal', 'Samantha Akkineni', 'Nithya Menen', 'S. J. Surya', 'Sathyaraj', 'Vadivelu', 'Sathyan Sivakumar', 'Kovai Sarala', 'Hareesh Peradi', 'Misha Ghoshal', 'Yogi Babu', 'Rajendran', 'Kaali Venkat', 'Devadarshini', 'Surekha Vani', 'Sangili Murugan', 'Boxer Dheena', 'M.Kamaraj', 'Mamilla Shailaja Priya', 'Senthikumari', 'Abdool Lee']","['A. R. Rahman', 'Tapas Nayak']","['Atlee', 'Shilpi Kiran', 'T K Madhan Prasad']","['Vijayendra Prasad', 'Atlee', 'Ramana Girivasan']","['H Murali', 'Marcin Andruchow', 'Natarajan Ramji', 'Hema Rukmani']",new_subtitles/Mersal/Mersal.srt,
Bairavaa,ta,"['Action','Thriller']",12-01-2017,169,U,600000000,1130000000,Average,"['Vijay', 'Keerthi Suresh', 'Jagapati Babu', 'Sathish', 'Aparna Vinod', 'Papri Ghosh', 'Rajendran', 'Daniel Balaji', 'Mime Gopi', 'Harish Uthaman', 'Sriman', 'Thambi Ramaiah', 'Sija Rose', 'Shanmugarajan', 'Adukalam Naren', 'G. Marimuthu', 'Vijayaraghavan', 'Malavika Avinash', 'Sugunthan', 'Seema G Nair', 'Mithu Chakrabarty', 'Monicka Siva']","['Santhosh Narayanan', 'Tapas Nayak']",['Bharathan'],['Bharathan'],"['B. Bharathi Reddy', 'B. Venkatarama Reddy', 'Manu Kumaran']",new_subtitles/Bairavaa/Bairavaa.srt,
Velaikkaran,ta,"['Action','Thriller','Drama']",22-12-2017,160,U,400000000,845000000,Average,"['Sivakarthikeyan', 'Fahadh Faasil', 'Nayanthara', 'Sneha', 'Prakash Raj', 'Thambi Ramaiah', 'Vijay Vasanth', 'Rohini', 'Balaji Patturaj', 'Sathish', 'Robo Shankar', 'Vinodhini Vaidyanathan', 'Charle', 'Kaali Venkat', 'Munishkanth', 'Arul Dass', 'Mime Gopi', 'Mansoor Ali Khan', 'Y. G. Mahendran', 'Madhusudhan Rao', 'Udhayabanu Mageswaran', 'Sharath Lohitashwa', 'Anish Kuruvilla', 'Mahesh Manjrekar', 'Vivek Prasanna', 'Balaji Venugopal', 'Maya S. Krishnan', 'Muthu Raman', 'Nagineedu Vellanki', 'Saravana Subbiah']","['Anirudh Ravichander', 'Tapas Nayak', 'M J Raju', 'Jonita Gandhi']",['Mohan Raja'],"['D Suresh', 'A.N. Balakrishnan', 'N Baskaran', 'Viveka']","['R. D. Raja', 'Mala Manyan']",new_subtitles/Velaikkaran/Velaikkaran.srt,
Vikram Vedha,ta,"['Crime','Action','Drama']",21-07-2017,147,UA,200000000,655000000,Double Blockbuster,"['R. Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Varalaxmi Sarathkumar', 'Kathir', 'Prem', 'Hareesh Peradi', 'Achyuth Kumar', 'Rajkumar', 'Amarendran Ramanan', 'Vivek Prasanna', 'E. Ramadoss']","['Anirudh Ravichander', 'Sam C S', 'Hari Haran', 'Sachin Sudhakaran', 'Balakesavan Shanmugam', 'K C Sidharthan', 'Shakthisree Gopalan', 'Pradeep Kumar']","['Pushkar', 'Vignesh Shivan', 'Gayathri']","['K. Manikandan', 'Mohan Rajan', 'Muthamil']","['Chakravarthy Ramachandra', 'S. Sashikanth', 'Muthuramalingam']",new_subtitles/Vikram Vedha/Vikram Vedha.srt,
Theeran Adhigaaram Ondru,ta,"['Action','Thriller','Crime']",17-11-2017,163,UA,250000000,590000000,Hit,"['Karthi', 'Rakul Preet Singh', 'Abhimanyu Singh', 'Bose Venkat', 'Sonia Bose Venkat', 'Manobala', 'Sathyan Sivakumar', 'R. N. R. Manohar', 'Scarlett Mellish Wilson', 'Ammu Abhirami']","['M. Ghibran', 'M. R. Rajakrishnan', 'Hari Haran', 'Sachin Sudhakaran', 'Balakesavan Shanmugam', 'K C Sidharthan']",['H. Vinoth'],['H. Vinoth'],"['S. R. Prabhu', 'S. R. Prakash Babu', 'S M Sirajudeen']",new_subtitles/Theeran Adhigaaram Ondru/Theeran Adhigaaram Ondru.srt,
Velaiilla Pattadhari 2,ta,"['Action','Comedy']",11-08-2017,129,U,300000000,545000000,Flop,"['Dhanush', 'Kajol', 'Amala Paul', 'Samuthirakani', 'Saranya Ponvannan', 'Vivek', 'Cell Murugan', 'Hrishikesh', 'Ritu Varma', 'Raiza Wilson', 'G. M. Kumar', 'Saravana Subbiah', 'Florent Pereira']","['Sean Roldan', 'Tapas Nayak']","['Soundarya Rajinikanth', 'Sameer Thahir']",[],"['S. Thanu', 'D Paranthaman']",new_subtitles/Velaiilla Pattadhari 2/Velaiilla Pattadhari 2.srt,
Shivalinga,ta,['Horror'],14-04-2017,149,U,250000000,420000000,Below Average,"['Raghava Lawrence', 'Ritika Singh', 'Vadivelu', 'Radha Ravi', 'Jayaprakash', 'VTV Ganesh', 'Urvashi', 'Bhanupriya', 'Pradeep Ram Singh Rawat', 'Sakthi Vasu', 'Madhuvanti Arun', 'Saara Deva']","['S. Thaman', 'Anirudh Ravichander']",['P. Vasu'],['Viveka'],"['R. Ravindran', 'J Abdul Lathif', 'R Vikraman', 'S Palaniappan']",new_subtitles/Shivalinga/Shivalinga.srt,
Kaatru Veliyidai,ta,"['Action','Romance']",07-04-2017,146,U,250000000,410000000,Below Average,"['Karthi', 'Aditi Rao Hydari', 'Balaji Patturaj', 'Delhi Ganesh', 'KPAC Lalitha', 'Shraddha Srinath', 'Vipin Sharma', 'Rukmini Vijayakumar', 'Harish Raj']","['A. R. Rahman', 'Anand Krishnamoorthi', 'Arun S Mani', 'S. Sivakumar', 'P. C. Vishnu', 'Durga Chiranjeevi', 'Jonita Gandhi']","['Mani Ratnam', 'P. S. Keerthana', 'Bejoy Nambiar']",[],['Shalini Shankar'],new_subtitles/Kaatru Veliyidai/Kaatru Veliyidai.srt,
The House Next Door,ta,['Horror'],03-11-2017,137,A,100000000,390000000,Super Hit,"['Siddharth', 'Andrea Jeremiah', 'Atul Kulkarni', 'Anisha Victor', 'Suresh', 'Prakash Belawadi']","['Girishh Gopalakrishnan', 'Vijay Rathinam', 'Vishnu Govind', 'Sree Sankar', 'A M Rahmathulla']",['Milind Rau'],['Milind Rau'],"['Honey Trehan', 'Linish Prasad']",new_subtitles/The House Next Door/The House Next Door.srt,
